"Destination","Type","Latitude","Longitude","Website Link","Image Link","ProximalBusStops"
"Thomson Nature Park","Nature",1.386277725,103.8268747,"https://beta.nparks.gov.sg/visit/parks/park-detail/thomson-nature-park","https://hikingthegreenisle.com/wp-content/uploads/2020/06/6636f-img_0332.jpg","56059,56051"
"Bukit Timah Nature Reserve","Nature",1.358293602,103.7914254,"https://beta.nparks.gov.sg/visit/parks/park-detail/bukit-timah-nature-reserve","https://beta.nparks.gov.sg/images/default-source/parks-img/bukit-timah-nature-reserve/bukit-timah-nature-reserve-hero-rock.jpg",""
"MacRitchie Reservoir","Nature",1.341857865,103.8352597,"https://www.visitsingapore.com/see-do-singapore/nature-wildlife/reserves/macritchie-nature-reserve/","https://media.timeout.com/images/105252957/750/562/image.jpg","51069,51071,51079,51089,51081"
"Ion Orchard","Shopping",1.304160216,103.8311339,"https://www.ionorchard.com/en.html","https://www.capitaland.com/content/dam/capitaland-media-library/integrateddevelopment-urbandevelopment/Singapore/Singapore/ION%20Orchard/ION-Orchard-Interior-2-Apr-2019.jpg.transform/cap-midres/image.jpg","09111,09179,09022,09047,09023,13191,09048,13199"
"Paragon Shopping Centre","Shopping",1.304798647,103.8340874,"https://www.paragon.com.sg/","https://www.dpa.com.sg/wp-content/uploads/2022/09/Paragon_Masthead.jpg","09219,09213,09048,09022,09047,09023,09212"
"Takashimaya Shopping Centre","Shopping",1.303142718,103.8354444,"https://www.takashimayasc.com.sg/","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvtBdSl23GFFcQsImJfzToKGL_d0Tsu-sNTfTA-2P-jw&s","09048,09059,09037,09011"
"313 @ Somerset","Shopping",1.301442068,103.8395088,"https://www.313somerset.com.sg/","https://www.313somerset.com.sg/siteassets/313-somerset/1130-x-600-facade.jpg?width=300&height=400&upscale=false&mode=max&quality=80","09038,08121,08138,08137"
"Plaza Singapura","Shopping",1.300462141,103.8452793,"https://www.capitaland.com/sg/malls/plazasingapura/en.html","https://www.capitaland.com/content/dam/capitaland-media-library/retail/Singapore/Singapore/Plaza%20Singapura/20181019_EDK_8478-Edit.jpg.transform/cap-midres/image.jpg","08057,08031,08137,08011,08079,08041,08058"
"Raffles City","Shopping",1.293810668,103.8530446,"https://www.capitaland.com/sg/malls/rafflescity/en.html","https://www.visitsingapore.com/content/dam/mice2-0/venues/raffles-city-convention-centre/carousel-2.jpg","02119,02111,01619,01611,02049,04111,04159,01012,04167,04143,04151,04179,04168,01639,01631"
"Marina Square","Shopping",1.291572456,103.8560228,"https://www.marinasquare.com.sg/","https://singaporeland.com/wp-content/uploads/2021/08/Marina-Square-2.jpg","02119,02111,02029,02151,02061,01619,02049,02089,01611,02159"
