"BusStopCode","RoadName","Description","Latitude","Longitude"
"10349","Henderson Rd","Blk 116",1.284977,103.821011
"10351","Henderson Rd","Blk 95B",1.28675501760897,103.822049901819
"10359","Henderson Rd","Opp Blk 95C",1.28723833324362,103.822592989978
"10361","Lower Delta Rd","Cendex Ctr",1.28038092060065,103.823530258088
"10369","Lower Delta Rd","Opp Cendex Ctr",1.28037471151153,103.82387343933
"10371","Lower Delta Rd","Blk 129",1.28365072319387,103.824502653383
"10379","Lower Delta Rd","Blk 25B",1.28373603376667,103.824895209297
"10381","Lower Delta Rd","Opp Blk 48",1.28906972186602,103.82559411728
"10389","Lower Delta Rd","Blk 48",1.28875832991208,103.825734550471
"10391","Kg Bahru Rd","Opp Melati Blk 2",1.27627105343758,103.831256393661
"10399","Kg Bahru Rd","Melati Blk 2",1.27588166292683,103.830194542052
"10401","Hoy Fatt Rd","Shriro Hse",1.28816729863,103.811678504019
"10409","Hoy Fatt Rd","Blk 50",1.28788221830638,103.810993177757
"10411","Hoy Fatt Rd","Opp Blk 53",1.28912979528004,103.812808400301
"10419","Hoy Fatt Rd","Blk 52",1.28842024220748,103.812575497495
"10421","Lengkok Bahru","Blk 63B",1.288964,103.814975
"10429","Lengkok Bahru","Blk 54",1.2892779060127,103.814048054222
"10431","Lengkok Bahru","ENABLING VILLAGE",1.287195,103.813984
"10439","Lengkok Bahru","OPP ENABLING VILLAGE",1.28747956947939,103.814189365803
"10441","Lengkok Bahru","Opp Blk 44",1.28656898930199,103.811606168721
"10449","Lengkok Bahru","Blk 44",1.28666552495266,103.81195378047
"10451","Redhill Rd","Opp Blk 71",1.28762380319765,103.817255963968
"10459","Redhill Rd","Blk 72",1.28754723360397,103.816399203017
"10461","Kay Siang Rd","Opp Blk 95",1.29680597432594,103.811691405161
"10469","Kay Siang Rd","Bef Margaret Dr",1.29668400003303,103.8121691897
"10471","Kay Siang Rd","Bef Tanglin Rd",1.29679993078344,103.814682206596
"10479","Kay Siang Rd","Aft Tanglin Rd",1.29668100002552,103.81547381026
"10481","Redhill Cl","Opp Blk 73",1.28784195484767,103.817971601133
"10489","Redhill Cl","Blk 73",1.28811638897142,103.817783889002
"10499","Spooner Rd","KAMPONG BAHRU TER",1.27585400417691,103.834010000021
"10501","Jln Bt Merah","Blk 104",1.28105845355429,103.825280654113
"10519","Delta Rd","Blk 4",1.291728,103.826122
"10599","Jln Rumah Tinggi","Opp Blk 36",1.28883435010664,103.80924997345
"10651","Bt Merah Ctrl","Blk 161",1.28329993019059,103.815476650177
"10659","Bt Merah Ctrl","Blk 1003",1.28362333298689,103.814728333018
"11001","Ghim Moh Rd","Opposite Ghim Moh Terminal",1.311072,103.789159
"11009","Ghim Moh Rd","Ghim Moh Ter",1.3110673548964,103.78932237624
"11019","Jln Bt Merah","Bef Blk 2",1.28679632523156,103.805656772953
"11021","Queensway","Aft Queenstown NPC HQ",1.28941805603102,103.802286943985
"11029","Queensway","Blk 166/Aft Mei Chin Rd",1.29013472201419,103.802021110988
"11031","Queensway","Opp Queen's Cl",1.29119666696879,103.800455000001
"11039","Queensway","Blk 19",1.29245762862665,103.79998683929
"11041","Queensway","Aft C'wealth Dr",1.29624499998226,103.799523332995
"11049","Queensway","Opp Blessed Sacrament Ch",1.2954609366563,103.799525499372
"11051","Queensway","Opp Queenstown Polyclinic",1.29872166703909,103.800297975548
"11059","Queensway","Queenstown Polyclinic",1.29882892782979,103.800973892228
"11061","Queensway","Opp Queensway Sec Sch",1.30265777802206,103.801186944025
"11069","Queensway","Queensway Sec Sch",1.30236853162324,103.801617622377
"11071","Queensway","Blk 97",1.30621305601609,103.80170944397
"11079","Queensway","Opp Blk 95",1.305441389003,103.801852500007
"11081","Queensway","Viz Holland",1.30851972202313,103.802580277996
"11089","Queensway","Opp Holland Hill Lodge",1.30946135492693,103.803340873546
"11091","Farrer Rd","Leedon Green",1.31219444050072,103.80367378216
"11099","Farrer Rd","Opp Leedon Green",1.31305333300118,103.804376666976
"11101","Farrer Rd","Farrer Rd Mkt",1.31614971080385,103.805960121892
"11109","Farrer Rd","Spanish Village",1.31552472199926,103.805743056028
"11111","Farrer Rd","Farrer Rd Stn Exit B",1.31780157259006,103.807718669525
"11119","Farrer Rd","Farrer Rd Stn Exit A",1.31747833490912,103.807856067286
"11131","C'wealth Ave","Queens Condo",1.2928849988829,103.807066944173
"11139","C'wealth Ave","Blk 53A CP",1.2931986108138,103.807446948413
"11141","C'wealth Ave","Queenstown Stn Exit A/D",1.29463705145492,103.805825106684
"11149","C'wealth Ave","Queenstown Stn Exit B/C",1.29506407111991,103.805962800948
"11151","C'wealth Ave","Blk 42",1.29863585845076,103.802475929256
"11159","C'wealth Ave","Aft Ch Of Our Saviour",1.29800440816386,103.803626568556
"11161","C'wealth Ave","C'Wealth Stn Exit A/D",1.30213305598263,103.798390833021
"11169","C'wealth Ave","C'Wealth Stn Exit B/C",1.30270500001823,103.798381666973
"11171","C'wealth Ave","Opp Blk 7B",1.30535666699303,103.794797221969
"11179","C'wealth Ave","Blk 8",1.30627521395682,103.794279401175
"11181","C'wealth Ave","Opp Blk 43",1.30722333300814,103.792276388969
"11189","C'wealth Ave","Blk 43",1.30740138898924,103.792542222024
"11191","C'wealth Ave West","The Star Vista",1.30801640815091,103.788373154627
"11199","C'wealth Ave West","Blk 15",1.30837970735444,103.788431453032
